gene	n_gsup_ti	n_gsup_pp_ti	n_nonsup_pp_ti	launched	omim	gwas
TFRC	9	1	10	FALSE	TRUE	TRUE
TGFA	5	0	4	FALSE	FALSE	TRUE
TGFB1	7	1	52	TRUE	TRUE	TRUE
TGFB2	11	1	18	FALSE	TRUE	TRUE
TGFB3	1	0	8	FALSE	TRUE	TRUE
TGFBR1	4	1	20	FALSE	TRUE	TRUE
TGFBR2	9	3	6	FALSE	TRUE	TRUE
TGM1	2	0	1	FALSE	TRUE	TRUE
TH	8	0	7	TRUE	TRUE	TRUE
THBS1	4	0	7	FALSE	FALSE	TRUE
THPO	2	2	3	FALSE	TRUE	TRUE
THRB	13	0	7	FALSE	TRUE	TRUE
TIPARP	11	0	2	FALSE	FALSE	TRUE
TLR3	2	0	22	TRUE	FALSE	TRUE
TLR4	9	0	37	TRUE	FALSE	TRUE
TLR6	1	0	6	FALSE	FALSE	FALSE
TLR7	2	1	44	FALSE	TRUE	FALSE
TLR8	1	0	41	FALSE	TRUE	FALSE
TLR9	2	0	50	TRUE	FALSE	FALSE
TMPRSS15	2	0	4	FALSE	TRUE	TRUE
TMPRSS6	9	0	3	FALSE	TRUE	TRUE
TMSB4X	3	0	11	FALSE	FALSE	FALSE
TNC	9	2	12	FALSE	TRUE	TRUE
TNFRSF10A	1	0	7	FALSE	FALSE	TRUE
TNFRSF10B	6	0	24	FALSE	TRUE	TRUE
TNFRSF11A	13	0	1	FALSE	TRUE	TRUE
TNFRSF13B	13	1	0	FALSE	TRUE	TRUE
TNFRSF1A	8	3	46	TRUE	TRUE	TRUE
TNFRSF1B	1	0	4	FALSE	FALSE	TRUE
TNFRSF8	3	0	17	TRUE	FALSE	TRUE
TNFRSF9	2	0	22	FALSE	TRUE	TRUE
TNFSF13	2	0	12	TRUE	FALSE	FALSE
TNFSF13B	4	0	17	TRUE	FALSE	TRUE
TNFSF14	3	0	6	FALSE	FALSE	TRUE
TNFSF15	8	3	1	FALSE	FALSE	TRUE
TNFSF4	9	2	12	FALSE	FALSE	TRUE
TNKS	9	0	8	FALSE	FALSE	TRUE
TNKS2	6	0	8	FALSE	FALSE	TRUE
TNPO1	10	0	13	FALSE	FALSE	TRUE
TOP1	9	1	37	TRUE	FALSE	TRUE
TOP2A	1	1	55	TRUE	FALSE	FALSE
TP53	37	16	20	TRUE	TRUE	FALSE
TPBG	1	0	7	FALSE	FALSE	TRUE
TPP1	2	1	0	TRUE	TRUE	FALSE
TREM2	2	0	4	FALSE	TRUE	TRUE
TRHR	2	0	1	TRUE	TRUE	TRUE
TRPA1	1	0	20	TRUE	FALSE	TRUE
TRPC5	1	0	6	FALSE	FALSE	TRUE
TRPM8	3	1	9	FALSE	FALSE	TRUE
TRPV1	1	0	59	TRUE	FALSE	TRUE
TRPV4	7	0	4	FALSE	TRUE	TRUE
TRPV6	2	0	3	FALSE	TRUE	TRUE
TSHR	5	3	0	TRUE	TRUE	TRUE
TSLP	10	3	6	TRUE	FALSE	TRUE
TSPO	2	0	17	FALSE	FALSE	TRUE
TTK	1	0	4	FALSE	FALSE	TRUE
TTR	2	1	1	TRUE	TRUE	TRUE
TUBB	2	0	51	TRUE	TRUE	FALSE
TUBB3	3	0	1	FALSE	TRUE	TRUE
TXK	1	0	2	FALSE	FALSE	TRUE
TXN	3	0	14	FALSE	FALSE	TRUE
TYK2	16	8	14	TRUE	TRUE	TRUE
TYMS	2	0	31	TRUE	TRUE	TRUE
TYR	19	1	3	FALSE	TRUE	TRUE
TYRP1	7	1	0	FALSE	TRUE	TRUE
UBE3A	1	1	0	FALSE	TRUE	TRUE
UGCG	2	0	8	TRUE	FALSE	TRUE
UGT1A1	2	1	0	FALSE	TRUE	FALSE
ULK1	1	0	1	FALSE	FALSE	FALSE
USH2A	3	2	0	FALSE	TRUE	TRUE
USP1	2	0	1	FALSE	FALSE	TRUE
USP14	1	0	1	FALSE	FALSE	TRUE
UTRN	2	0	1	FALSE	FALSE	TRUE
VCAM1	4	0	2	FALSE	FALSE	TRUE
VCP	3	0	6	FALSE	TRUE	TRUE
VDR	5	1	21	TRUE	TRUE	TRUE
VEGFA	33	3	58	TRUE	FALSE	TRUE
VEGFB	1	0	4	FALSE	FALSE	TRUE
VEGFC	5	0	12	FALSE	TRUE	TRUE
VIM	5	0	7	FALSE	TRUE	TRUE
VIPR1	1	0	7	TRUE	FALSE	TRUE
VIPR2	1	0	8	FALSE	FALSE	TRUE
VKORC1	6	0	4	FALSE	TRUE	FALSE
VSIR	1	0	8	FALSE	FALSE	TRUE
VWF	7	3	11	TRUE	TRUE	TRUE
WAS	3	1	0	FALSE	TRUE	FALSE
WEE1	1	0	11	FALSE	FALSE	TRUE
WNT3A	1	0	1	FALSE	FALSE	TRUE
WNT5A	1	0	3	FALSE	TRUE	TRUE
WT1	16	3	23	FALSE	TRUE	TRUE
XDH	2	0	7	TRUE	TRUE	TRUE
XIAP	1	0	23	FALSE	TRUE	FALSE
XPO1	6	4	33	TRUE	FALSE	TRUE
YAP1	6	0	1	FALSE	TRUE	TRUE
YES1	3	0	19	TRUE	FALSE	TRUE
ZAP70	4	0	1	FALSE	TRUE	TRUE
ZNRF3	6	0	1	FALSE	FALSE	TRUE
