ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	oto_hcat	oto_acat	oto_ccat	orphan	year_launch
GPR55-D010003	GPR55	D010003	Osteoarthritis		Preclinical	Preclinical		2	1								FALSE	
GPR55-D010190	GPR55	D010190	Pancreatic Neoplasms		Preclinical	Preclinical		2	1								FALSE	
GPR55-D010300	GPR55	D010300	Parkinson Disease	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GPR55-D010523	GPR55	D010523	Peripheral Nervous System Diseases	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR55-D011218	GPR55	D011218	Prader-Willi Syndrome		Phase III	Phase III		5	4	TRUE	TRUE	TRUE					FALSE	
GPR55-D011595	GPR55	D011595	Psychomotor Agitation		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
GPR55-D011618	GPR55	D011618	Psychotic Disorders	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR55-D012393	GPR55	D012393	Rosacea		Phase I	Phase I		3	2	TRUE							FALSE	
GPR55-D012559	GPR55	D012559	Schizophrenia		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
GPR55-D013036	GPR55	D013036	Spasms, Infantile		Preclinical	Preclinical		2	1								FALSE	
GPR55-D013203	GPR55	D013203	Staphylococcal Infections	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR55-D013313	GPR55	D013313	Stress Disorders, Post-Traumatic	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR55-D014402	GPR55	D014402	Tuberous Sclerosis	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE		Launched	Launched	FALSE	
GPR55-D014605	GPR55	D014605	Uveitis		Preclinical	Preclinical		2	1								FALSE	
GPR55-D014839	GPR55	D014839	Vomiting		Phase I	Phase I		3	2	TRUE							FALSE	
GPR55-D015352	GPR55	D015352	Dry Eye Syndromes		Preclinical	Preclinical		2	1								FALSE	
GPR55-D015427	GPR55	D015427	Reperfusion Injury	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR55-D015518	GPR55	D015518	Rett Syndrome	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE				FALSE	
GPR55-D016584	GPR55	D016584	Panic Disorder		Preclinical	Preclinical		2	1								FALSE	
GPR55-D017204	GPR55	D017204	Angelman Syndrome	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
GPR55-D019966	GPR55	D019966	Substance-Related Disorders	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR55-D019970	GPR55	D019970	Cocaine-Related Disorders	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
GPR55-D044968	GPR55	D044968	Regenerative Medicine	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR55-D050197	GPR55	D050197	Atherosclerosis	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR55-D053201	GPR55	D053201	Urinary Bladder, Overactive	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
GPR55-D059226	GPR55	D059226	Nociceptive Pain		Phase I	Phase I		3	2	TRUE							FALSE	
GPR55-D059352	GPR55	D059352	Musculoskeletal Pain		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
GPR55-D062025	GPR55	D062025	Organophosphate Poisoning	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR55-D065626	GPR55	D065626	Non-alcoholic Fatty Liver Disease	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
GPR55-D065768	GPR55	D065768	Lennox Gastaut Syndrome	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE		Launched	Launched	FALSE	2019
GPR55-NA	GPR55			Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE		Launched	Launched	FALSE	2021
GPR61-D001068	GPR61	D001068	Feeding and Eating Disorders	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GPR65-D001327	GPR65	D001327	Autoimmune Diseases		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GPR65-D009369	GPR65	D009369	Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GPR65-D015212	GPR65	D015212	Inflammatory Bowel Diseases		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GPR75-D009765	GPR75	D009765	Obesity		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GPR82-D009765	GPR82	D009765	Obesity	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GPR84-D000740	GPR84	D000740	Anemia	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR84-D003093	GPR84	D003093	Colitis, Ulcerative	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GPR84-D003424	GPR84	D003424	Crohn Disease	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GPR84-D003550	GPR84	D003550	Cystic Fibrosis	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR84-D003920	GPR84	D003920	Diabetes Mellitus	Phase I		Phase I	2		2	TRUE	FALSE						FALSE	
GPR84-D003924	GPR84	D003924	Diabetes Mellitus, Type 2		Phase I	Phase I		3	2	TRUE							FALSE	
GPR84-D003928	GPR84	D003928	Diabetic Nephropathies	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
GPR84-D005355	GPR84	D005355	Fibrosis		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GPR84-D005923	GPR84	D005923	Glomerulosclerosis, Focal Segmental	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR84-D008103	GPR84	D008103	Liver Cirrhosis	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
GPR84-D009400	GPR84	D009400	Nephrosclerosis	Phase I		Phase I	2		2	TRUE	FALSE						FALSE	
GPR84-D009765	GPR84	D009765	Obesity	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR84-D012595	GPR84	D012595	Scleroderma, Systemic	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR84-D015212	GPR84	D015212	Inflammatory Bowel Diseases	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GPR84-D015228	GPR84	D015228	Hypertriglyceridemia	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR84-D024821	GPR84	D024821	Metabolic Syndrome		Preclinical	Preclinical		2	1								FALSE	
GPR84-D045743	GPR84	D045743	Scleroderma, Diffuse	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR84-D045745	GPR84	D045745	Scleroderma, Limited	Preclinical		Preclinical	1		1	FALSE							FALSE	
GPR84-D054990	GPR84	D054990	Idiopathic Pulmonary Fibrosis	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GPR84-D056769	GPR84	D056769	Alstrom Syndrome		Phase I	Phase I		3	2	TRUE							FALSE	
GPR84-D059226	GPR84	D059226	Nociceptive Pain	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GPR84-D065626	GPR84	D065626	Non-alcoholic Fatty Liver Disease		Phase I	Phase I		3	2	TRUE							FALSE	
GPR88-D012559	GPR88	D012559	Schizophrenia	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GPRC5D-D009101	GPRC5D	D009101	Multiple Myeloma		Phase II	Phase II		4	3	TRUE	TRUE				Phase I	Phase I	FALSE	
GPRC5D-D019337	GPRC5D	D019337	Hematologic Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GPX7-D004938	GPX7	D004938	Esophageal Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GPX7-D013274	GPX7	D013274	Stomach Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRB2-D001943	GRB2	D001943	Breast Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
GRB2-D008224	GRB2	D008224	Lymphoma, Follicular	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
GRB2-D008228	GRB2	D008228	Lymphoma, Non-Hodgkin	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
GRB2-D009190	GRB2	D009190	Myelodysplastic Syndromes		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
GRB2-D009369	GRB2	D009369	Neoplasms		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
GRB2-D010051	GRB2	D010051	Ovarian Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
GRB2-D010190	GRB2	D010190	Pancreatic Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
GRB2-D015464	GRB2	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
GRB2-D015470	GRB2	D015470	Leukemia, Myeloid, Acute		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
GRB2-D016403	GRB2	D016403	Lymphoma, Large B-Cell, Diffuse	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
GRB2-D016889	GRB2	D016889	Endometrial Neoplasms		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
GRB2-D018442	GRB2	D018442	Lymphoma, B-Cell, Marginal Zone	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
GRB2-D020522	GRB2	D020522	Lymphoma, Mantle-Cell	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
GRB2-D054198	GRB2	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
GREM1-D009369	GREM1	D009369	Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
GRIA1-D000070642	GRIA1	D000070642	Brain Injuries, Traumatic	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
GRIA1-D000072716	GRIA1	D000072716	Cancer Pain	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIA1-D000437	GRIA1	D000437	Alcoholism	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
GRIA1-D000544	GRIA1	D000544	Alzheimer Disease	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIA1-D000690	GRIA1	D000690	Amyotrophic Lateral Sclerosis	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
GRIA1-D000758	GRIA1	D000758	Anesthesia	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIA1-D001008	GRIA1	D001008	Anxiety Disorders	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIA1-D001049	GRIA1	D001049	Apnea	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIA1-D001289	GRIA1	D001289	Attention Deficit Disorder with Hyperactivity		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
GRIA1-D002545	GRIA1	D002545	Brain Ischemia	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
GRIA1-D003072	GRIA1	D003072	Cognition Disorders	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIA1-D003863	GRIA1	D003863	Depression	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIA1-D003865	GRIA1	D003865	Depressive Disorder, Major		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
GRIA1-D003929	GRIA1	D003929	Diabetic Neuropathies	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	Phase III		Phase III	TRUE	
GRIA1-D004827	GRIA1	D004827	Epilepsy	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
GRIA1-D004828	GRIA1	D004828	Epilepsies, Partial	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	2012
GRIA1-D004830	GRIA1	D004830	Epilepsy, Tonic-Clonic	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	
GRIA1-D006009	GRIA1	D006009	Glycogen Storage Disease Type II		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GRIA1-D007511	GRIA1	D007511	Ischemia	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIA1-D008881	GRIA1	D008881	Migraine Disorders	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Phase II	Launched	Launched	TRUE	2021
GRIA1-D009103	GRIA1	D009103	Multiple Sclerosis	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
GRIA1-D009128	GRIA1	D009128	Muscle Spasticity	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIA1-D009293	GRIA1	D009293	Opioid-Related Disorders	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIA1-D009325	GRIA1	D009325	Nausea	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIA1-D009422	GRIA1	D009422	Nervous System Diseases	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIA1-D009437	GRIA1	D009437	Neuralgia	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	TRUE	
GRIA1-D010149	GRIA1	D010149	Pain, Postoperative	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIA1-D010300	GRIA1	D010300	Parkinson Disease	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	Phase III		Phase III	TRUE	
GRIA1-D011595	GRIA1	D011595	Psychomotor Agitation	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIA1-D012131	GRIA1	D012131	Respiratory Insufficiency	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIA1-D012559	GRIA1	D012559	Schizophrenia	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIA1-D012893	GRIA1	D012893	Sleep Wake Disorders	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIA1-D013035	GRIA1	D013035	Spasm	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIA1-D013119	GRIA1	D013119	Spinal Cord Injuries		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
GRIA1-D013927	GRIA1	D013927	Thrombosis	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
GRIA1-D014839	GRIA1	D014839	Vomiting	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIA1-D019969	GRIA1	D019969	Amphetamine-Related Disorders		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GRIA1-D019970	GRIA1	D019970	Cocaine-Related Disorders		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GRIA1-D020521	GRIA1	D020521	Stroke	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
GRIA1-D020820	GRIA1	D020820	Dyskinesias	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIA1-D051474	GRIA1	D051474	Neuralgia, Postherpetic	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	Phase III		Phase III	TRUE	
GRIA1-D065768	GRIA1	D065768	Lennox Gastaut Syndrome	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE		Launched	Launched	TRUE	
GRIA1-NA	GRIA1				Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GRIK1-D003929	GRIK1	D003929	Diabetic Neuropathies	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIK1-D008881	GRIK1	D008881	Migraine Disorders	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
GRIK1-D009437	GRIK1	D009437	Neuralgia	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIK1-D012559	GRIK1	D012559	Schizophrenia	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIK1-D059226	GRIK1	D059226	Nociceptive Pain	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIK1-D059352	GRIK1	D059352	Musculoskeletal Pain	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIN1-D000070642	GRIN1	D000070642	Brain Injuries, Traumatic		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
GRIN1-D000071057	GRIN1	D000071057	Tardive Dyskinesia	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
GRIN1-D000072716	GRIN1	D000072716	Cancer Pain		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GRIN1-D000072861	GRIN1	D000072861	Phobia, Social	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	Phase III		Phase III	FALSE	
GRIN1-D000086382	GRIN1	D000086382	COVID-19	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE				FALSE	
GRIN1-D000437	GRIN1	D000437	Alcoholism		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
GRIN1-D000544	GRIN1	D000544	Alzheimer Disease	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	2013
GRIN1-D000690	GRIN1	D000690	Amyotrophic Lateral Sclerosis		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
GRIN1-D001289	GRIN1	D001289	Attention Deficit Disorder with Hyperactivity	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
GRIN1-D001321	GRIN1	D001321	Autistic Disorder		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GRIN1-D001714	GRIN1	D001714	Bipolar Disorder		Phase III	Phase III		5	4	TRUE	TRUE	TRUE			Phase III	Phase III	FALSE	
GRIN1-D002056	GRIN1	D002056	Burns		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
GRIN1-D002545	GRIN1	D002545	Brain Ischemia		Phase III	Phase III		5	4	TRUE	TRUE	TRUE			Phase III	Phase III	FALSE	
GRIN1-D003072	GRIN1	D003072	Cognition Disorders	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIN1-D003371	GRIN1	D003371	Cough		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
GRIN1-D003863	GRIN1	D003863	Depression		Phase III	Phase III		5	4	TRUE	TRUE	TRUE			Phase III	Phase III	TRUE	
GRIN1-D003865	GRIN1	D003865	Depressive Disorder, Major		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
GRIN1-D003929	GRIN1	D003929	Diabetic Neuropathies		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
GRIN1-D004409	GRIN1	D004409	Dyskinesia, Drug-Induced	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	2017
GRIN1-D004827	GRIN1	D004827	Epilepsy		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
GRIN1-D005128	GRIN1	D005128	Eye Diseases	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIN1-D005356	GRIN1	D005356	Fibromyalgia		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
GRIN1-D005879	GRIN1	D005879	Tourette Syndrome	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
GRIN1-D005901	GRIN1	D005901	Glaucoma		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
GRIN1-D006816	GRIN1	D006816	Huntington Disease	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
GRIN1-D006976	GRIN1	D006976	Hypertension, Pulmonary		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
GRIN1-D008268	GRIN1	D008268	Macular Degeneration	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIN1-D008881	GRIN1	D008881	Migraine Disorders	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIN1-D009103	GRIN1	D009103	Multiple Sclerosis	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	Phase III		Phase III	TRUE	
GRIN1-D009203	GRIN1	D009203	Myocardial Infarction		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
GRIN1-D009422	GRIN1	D009422	Nervous System Diseases		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
GRIN1-D009437	GRIN1	D009437	Neuralgia		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
GRIN1-D009765	GRIN1	D009765	Obesity		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
GRIN1-D009771	GRIN1	D009771	Obsessive-Compulsive Disorder	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	Phase III		Phase III	FALSE	
GRIN1-D010003	GRIN1	D010003	Osteoarthritis	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIN1-D010149	GRIN1	D010149	Pain, Postoperative	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	Phase III		Phase III	FALSE	
GRIN1-D010190	GRIN1	D010190	Pancreatic Neoplasms		Preclinical	Preclinical		2	1								FALSE	
GRIN1-D010300	GRIN1	D010300	Parkinson Disease	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	2017
GRIN1-D010523	GRIN1	D010523	Peripheral Nervous System Diseases		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GRIN1-D011183	GRIN1	D011183	Postoperative Complications	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIN1-D011618	GRIN1	D011618	Psychotic Disorders	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIN1-D012128	GRIN1	D012128	Respiratory Distress Syndrome	Preclinical		Preclinical	1		1	FALSE							FALSE	
GRIN1-D012148	GRIN1	D012148	Restless Legs Syndrome	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
GRIN1-D012559	GRIN1	D012559	Schizophrenia	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIN1-D013119	GRIN1	D013119	Spinal Cord Injuries		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
GRIN1-D013226	GRIN1	D013226	Status Epilepticus		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
GRIN1-D013313	GRIN1	D013313	Stress Disorders, Post-Traumatic		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GRIN1-D014012	GRIN1	D014012	Tinnitus		Phase III	Phase III		5	4	TRUE	TRUE	TRUE			Phase III	Phase III	FALSE	
GRIN1-D014029	GRIN1	D014029	Tobacco Use Disorder	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIN1-D014526	GRIN1	D014526	Urethritis	Preclinical		Preclinical	1		1	FALSE							FALSE	
GRIN1-D015140	GRIN1	D015140	Dementia, Vascular		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
GRIN1-D015430	GRIN1	D015430	Weight Gain	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
GRIN1-D015518	GRIN1	D015518	Rett Syndrome		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GRIN1-D016584	GRIN1	D016584	Panic Disorder	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	Phase III		Phase III	FALSE	
GRIN1-D020521	GRIN1	D020521	Stroke		Phase III	Phase III		5	4	TRUE	TRUE	TRUE			Phase III	Phase III	FALSE	
GRIN1-D020820	GRIN1	D020820	Dyskinesias	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIN1-D020918	GRIN1	D020918	Complex Regional Pain Syndromes		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
GRIN1-D048909	GRIN1	D048909	Diabetes Complications	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIN1-D051474	GRIN1	D051474	Neuralgia, Postherpetic		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
GRIN1-D054990	GRIN1	D054990	Idiopathic Pulmonary Fibrosis		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
GRIN1-D055371	GRIN1	D055371	Acute Lung Injury	Preclinical		Preclinical	1		1	FALSE							FALSE	
GRIN1-D055752	GRIN1	D055752	Small Cell Lung Carcinoma		Preclinical	Preclinical		2	1								FALSE	
GRIN1-D059226	GRIN1	D059226	Nociceptive Pain		Phase II	Phase II		4	3	TRUE	TRUE			Phase III		Phase III	FALSE	
GRIN1-D061686	GRIN1	D061686	Premature Ejaculation	Preclinical		Preclinical	1		1	FALSE							FALSE	
GRIN2B-D000072716	GRIN2B	D000072716	Cancer Pain	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
GRIN2B-D000086382	GRIN2B	D000086382	COVID-19	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE				FALSE	
GRIN2B-D000544	GRIN2B	D000544	Alzheimer Disease	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	Phase III		Phase III	TRUE	
GRIN2B-D002545	GRIN2B	D002545	Brain Ischemia		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
GRIN2B-D003371	GRIN2B	D003371	Cough		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
GRIN2B-D003863	GRIN2B	D003863	Depression		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
GRIN2B-D003865	GRIN2B	D003865	Depressive Disorder, Major		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
GRIN2B-D003929	GRIN2B	D003929	Diabetic Neuropathies	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
GRIN2B-D006816	GRIN2B	D006816	Huntington Disease	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	Phase III		Phase III	TRUE	
GRIN2B-D007022	GRIN2B	D007022	Hypotension	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
GRIN2B-D009422	GRIN2B	D009422	Nervous System Diseases		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
GRIN2B-D009437	GRIN2B	D009437	Neuralgia		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	TRUE	
GRIN2B-D010149	GRIN2B	D010149	Pain, Postoperative	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
