MSH	MSH.Top	Disease	Indication	Category
"folate malabsorption, hereditary"	Digestive System Diseases	"Folate malabsorption, hereditary,  "		Digestive system
folic acid deficiency		Folate pathway vitamin levels		Metabolic
"follicle-stimulating hormone deficiency, isolated"	Male Urogenital Diseases	"Follicle-stimulating hormone deficiency, isolated,  "		
forkhead transcription factors		*602291 FORKHEAD BOX J1; FOXJ1		
fragile x tremor ataxia syndrome	Nervous System Diseases	"Fragile X tremor/ataxia syndrome,  "		
fraser syndrome	Eye Diseases	"Fraser syndrome,  "		Eye
frasier syndrome	Male Urogenital Diseases	"Frasier syndrome,  "		
freeman-sheldon syndrome	Musculoskeletal Diseases	"Arthrogryposis, distal, type 2A,  "		
frontometaphyseal dysplasia	Musculoskeletal Diseases	"Frontometaphyseal dysplasia,  "		
frontotemporal dementia	Nervous System Diseases	"Dementia, frontotemporal,  "		
"frontotemporal dementia, chromosome 3-linked"	Nervous System Diseases	"Dementia, familial, nonspecific,  "		
frontotemporal lobar degeneration		Frontotemporal lobar degeneration		
fructose intolerance	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Fructose intolerance,  "		
"fructose-1,6-diphosphatase deficiency"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Fructose-1,6-bidphosphatase deficiency,  "		
fructosuria	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"[Fructosuria],  "		
fuchs' endothelial dystrophy		Fuch`s corneal dystrophy		
fucosidosis	Nervous System Diseases	"Fucosidosis,  "		
fumaric aciduria	Nervous System Diseases	"Fumarase deficiency,  "		
fundus albipunctatus	Eye Diseases	"Fundus albipunctatus,  "		Eye
"fundus dystrophy, pseudoinflammatory, of sorsby"	Eye Diseases	"Sorsby fundus dystrophy,  "		Eye
galactosemias	Nervous System Diseases	"Galactosemia,  "		
gallbladder disease 4	Digestive System Diseases	"Gallbladder disease 4,  "		Digestive system
gallbladder neoplasms		Gallbladder cancer		Oncology
gallstones		Gallstones		Digestive system
gambling		Gambling		
gamma aminobutyric acid transaminase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"GABA-transaminase deficiency,  "		
gamma-cystathionase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Cystathioninuria,  "		
"gamma-glutamylcysteine synthetase deficiency, hemolytic anemia due to"	Hemic and Lymphatic Diseases	"Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency,  "		Blood
gamma-glutamyltransferase		Gamma gluatamyl transferase levels		Liver & kidney
"gangliosidosis, gm1"	Nervous System Diseases	"GM1-gangliosidosis, type III,  "		
gastrointestinal stromal tumors	Neoplasms	"Gastrointestinal stromal tumor,  "		
"gaucher disease, atypical, due to saposin c deficiency"	Nervous System Diseases	"Gaucher disease, atypical,  "		
"gaucher disease, perinatal lethal"	Nervous System Diseases	"Gaucher disease, perinatal lethal,  "		
gaucher-like disease	Nervous System Diseases	"Gaucher disease, type IIIC,  "		
"gaze palsy, familial horizontal, with progressive scoliosis"	Musculoskeletal Diseases	"Gaze palsy, horizontal, with progressive scoliosis,  "		
generalized epilepsy and paroxysmal dyskinesia	Nervous System Diseases	"Generalized epilepsy and paroxysmal dyskinesia,  "		
"generalized epilepsy with febrile seizures plus, type 1"	Nervous System Diseases	"Epilepsy, generalized, with febrile seizures plus, type 1,  "		
"generalized epilepsy with febrile seizures plus, type 2"	Nervous System Diseases	"Febrile seizures, familial, 3A,  "		
"generalized epilepsy with febrile seizures plus, type 3"	Nervous System Diseases	"Febrile seizures, familial, 8,  "		
genetic phenomena		Common traits (Other)		Miscellaneous
"genital diseases, male"		Congenital Bilateral Absence of the Vas Deferens		
gerodermia osteodysplastica	Musculoskeletal Diseases	"Geroderma osteodysplasticum,  "		
gerstmann-straussler-scheinker disease	Nervous System Diseases	"Gerstmann-Straussler disease,  "		
ghosal hematodiaphyseal dysplasia	Musculoskeletal Diseases	"Ghosal hematodiaphyseal syndrome,  "		
giant axonal neuropathy	Nervous System Diseases	"Giant axonal neuropathy-1,  "		
gilbert disease	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"[Gilbert syndrome],  "		
gitelman syndrome	Male Urogenital Diseases	"Gitelman syndrome,  "		
"glanzmann thrombasthenia, autosomal dominant"	Hemic and Lymphatic Diseases	"Bleeding disorder, platelet-type, 16, autosomal dominant,  "		Blood
"glaucoma 1, open angle, a"	Eye Diseases	"Glaucoma 1A, primary open angle,  "		Eye
"glaucoma 1, open angle, f"	Eye Diseases	"Glaucoma 1, open angle, F,  "		Eye
"glaucoma 1, open angle, g"	Eye Diseases	"Glaucoma 1, open angle, G,  "		Eye
"glaucoma 1, open angle, o"	Eye Diseases	"Glaucoma 1, open angle, 1O,  "		Eye
"glaucoma 3, primary congenital, a"	Eye Diseases	"Glaucoma 3A, primary open angle, congenital, juvenile, or adult onset,  "		Eye
"glaucoma 3, primary congenital, d"	Eye Diseases	"Glaucoma 3, primary congenital, D,  "		Eye
"glaucoma, open-angle"		Glaucoma (primary open-angle)		Eye
"glaucoma, primary open angle"	Eye Diseases	"Glaucoma 1, open angle, E,  "		Eye
glioblastoma		Glioblastoma		Oncology
glioma		Glioma		Oncology
glomerulocystic kidney disease with hyperuricemia and isosthenuria	Male Urogenital Diseases	"Glomerulocystic kidney disease with hyperuricemia and isosthenuria,  "		
"glomerulonephritis, iga"		IgA nephropathy		Liver & kidney
"glomerulonephritis, membranous"		Nephropathy (idiopathic membranous)		Liver & kidney
glomerulopathy with fibronectin deposits	Male Urogenital Diseases	"Glomerulopathy with fibronectin deposits 2,  "		
"glomerulosclerosis, focal segmental"		"Glomerulonephritis, IGA"		Liver & kidney
glomus vagale tumors	Neoplasms	"Glomuvenous malformations,  "		
glucocorticoid deficiency 2	Endocrine System Diseases	"Glucocorticoid deficiency 2,  "		Endocrine
glucocorticoid-remediable aldosteronism	Endocrine System Diseases	"Aldosteronism, glucocorticoid-remediable,  "		Endocrine
glucose metabolism disorders		Fasting glucose-related traits		Diabetes
glucose tolerance test		Fasting plasma glucose		Diabetes
glucose/galactose malabsorption	Digestive System Diseases	"Glucose/galactose malabsorption,  "		Digestive system
glutamate formiminotransferase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glutamate formiminotransferase deficiency,  "		
"glutamine deficiency, congenital"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glutamine deficiency, congenital,  "		
glutaric aciduria 1	Nervous System Diseases	"Glutaricaciduria, type I,  "		
glutathione synthetase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glutathione synthetase deficiency,  "		
"glutathione synthetase deficiency of erythrocytes, hemolytic anemia due to"	Hemic and Lymphatic Diseases	"Hemolytic anemia due to glutathione synthetase deficiency,  "		Blood
glycine n-methyltransferase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycine N-methyltransferase deficiency,  "		
"glycogen storage disease 0, liver"	Digestive System Diseases	"Glycogen storage disease, type 0,  "		Digestive system
"glycogen storage disease 0, muscle"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycogen storage disease 0, muscle,  "		
glycogen storage disease ib	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycogen storage disease Ib,  "		
glycogen storage disease ic	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycogen storage disease Ic,  "		
glycogen storage disease ixb	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Phosphorylase kinase deficiency of liver and muscle, autosomal recessive,  "		
glycogen storage disease ixc	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycogen storage disease IXc,  "		
"glycogen storage disease of heart, lethal congenital"	Cardiovascular Diseases	"Glycogen storage disease of heart, lethal congenital,  "		Cardiovascular
glycogen storage disease type i	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycogen storage disease Ia,  "		
glycogen storage disease type iib	Nervous System Diseases	"Danon disease,  "		
glycogen storage disease type iii	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycogen storage disease IIIb,  "		
glycogen storage disease type iv	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycogen storage disease IV,  "		
glycogen storage disease type v	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"McArdle disease,  "		
glycogen storage disease type vi	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycogen storage disease VI,  "		
glycogen storage disease type vii	Musculoskeletal Diseases	"Glycogen storage disease VII,  "		
glycogen storage disease xii	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycogen storage disease XII,  "		
glycogen storage disease xiii	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycogen storage disease XIII,  "		
glycogen storage disease xiv	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycogen storage disease XIV,  "		
"glycogen storage disease, type ixd"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Muscle glycogenosis,  "		
glycogen synthase kinase 3		*605004 GLYCOGEN SYNTHASE KINASE 3-BETA; GSK3B		
"glycosuria, renal"	Male Urogenital Diseases	"Renal glucosuria,  "		
glycosylphosphatidylinositol deficiency	Hemic and Lymphatic Diseases	"Glycosylphosphatidylinositol deficiency,  "		Blood
goldberg-shprintzen megacolon syndrome	Musculoskeletal Diseases	"Goldberg-Shprintzen megacolon syndrome,  "		
"gonadal dysgenesis, 46,xy"		Testicular dysgenesis syndrome		
gout		Gout		Metabolic
"granulomatous disease, chronic, autosomal recessive, cytochrome b-negative"	Hemic and Lymphatic Diseases	"Chronic granulomatous disease, autosomal, due to deficiency of CYBA,  "		Blood
"granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type i"	Hemic and Lymphatic Diseases	"Chronic granulomatous disease due to deficiency of NCF-1,  "		Blood
"granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type ii"	Hemic and Lymphatic Diseases	"Chronic granulomatous disease due to deficiency of NCF-2,  "		Blood
"granulomatous disease, chronic, x-linked"	Hemic and Lymphatic Diseases	"Chronic granulomatous disease, X-linked,  "		Blood
graves disease		Graves` disease		Endocrine
greig cephalopolysyndactyly syndrome	Musculoskeletal Diseases	"Greig cephalopolysyndactyly syndrome,  "		
griscelli syndrome type 1	Otorhinolaryngologic Diseases	"Griscelli syndrome, type 1,  "		
griscelli syndrome type 2	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Griscelli syndrome, type 2,  "		
griscelli syndrome type 3	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Griscelli syndrome, type 3,  "		
"grn protein, human"		Progranulin levels		Miscellaneous
groenouw type i corneal dystrophy	Eye Diseases	"Corneal dystrophy, Groenouw type I,  "		Eye
growth hormone-secreting pituitary adenoma	Neoplasms	"Acromegaly,  "		
"growth retardation, developmental delay, coarse facies, and early death"	Musculoskeletal Diseases	"Growth retardation, developmental delay, coarse facies, and early death,  "		
guanidinoacetate methyltransferase deficiency	Nervous System Diseases	"Cerebral creatine deficiency syndrome 2,  "		
hair diseases		Black vs. blond hair color		Skin & connective tissue
hallermann's syndrome	Musculoskeletal Diseases	"Hallermann-Streiff syndrome,  "		
hand foot uterus syndrome	Musculoskeletal Diseases	"Hand-foot-uterus syndrome,  "		
haptoglobins		Haptoglobin levels		Blood
harlequin type ichthyosis	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Ichthyosis, autosomal recessive 4B (harlequin),  "		
hartnup disease	Nervous System Diseases	"Hartnup disorder,  "		
hashimoto disease	Endocrine System Diseases	"{Hypothyroidism, autoimmune},  "		Endocrine
hawkinsinuria	Nervous System Diseases	"Hawkinsinuria,  "		
hay-wells syndrome	Musculoskeletal Diseases	"Hay-Wells syndrome,  "		
health		Self-rated health		
hearing		GWAS of 4 kHz hearing threshold in a British population		
"hearing loss, sensorineural"		#600652 DEAFNESS; AUTOSOMAL DOMINANT NONSYNDROMIC SENSORINEURAL 4; DFNA4		
heart diseases		Cardiac structure and function		Cardiovascular
heart rate		Resting heart rate		Cardiovascular
"heart-hand syndrome, slovenian type"	Musculoskeletal Diseases	"Heart-hand syndrome, Slovenian type,  "		
hecht syndrome	Musculoskeletal Diseases	"Trismus-pseudocamptodactyly syndrome,  "		
heinz body anemias	Hemic and Lymphatic Diseases	"Heinz body anemia,  "		Blood
"hemangioma, capillary infantile"	Neoplasms	"{Hemangioma, capillary infantile, susceptibility to},  "		
"hemangioma, cavernous, central nervous system"	Neoplasms	"Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations,  "		
hematocrit		hematocrit		Blood
hematologic agents		Hematological parameters		Blood
hematologic diseases		Hematological and biochemical traits		Blood
"hematuria, benign familial"	Male Urogenital Diseases	"Hematuria, benign familial,  "		
"hemochromatosis, type 2a"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hemochromatosis, type 2A,  "		
"hemochromatosis, type 2b"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hemochromatosis, type 2B,  "		
"hemochromatosis, type 3"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hemochromatosis, type 3,  "		
"hemochromatosis, type 4"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hemochromatosis, type 4,  "		
"hemoglobin a, glycosylated"		Glycated hemoglobin levels		Blood
hemoglobin a2		HbA2 levels		Blood
hemoglobins		hemoglobin		Blood
hemoglobinuria		glycated hemoglobin levels		Blood
"hemoglobinuria, paroxysmal"	Hemic and Lymphatic Diseases	"Paroxysmal nocturnal hemoglobinuria, somatic,  "		Blood
hemolytic agents		benzene haematotoxicity		
"hemophagocytic lymphohistiocytosis, familial, 2"	Hemic and Lymphatic Diseases	"Hemophagocytic lymphohistiocytosis, familial, 2,  "		Blood
"hemophagocytic lymphohistiocytosis, familial, 3"	Hemic and Lymphatic Diseases	"Hemophagocytic lymphohistiocytosis, familial, 3,  "		Blood
"hemophagocytic lymphohistiocytosis, familial, 4"	Hemic and Lymphatic Diseases	"Hemophagocytic lymphohistiocytosis, familial, 4,  "		Blood
hemostatic disorders		Hemostatic factors and hematological phenotypes		Cardiovascular
hennekam lymphangiectasia lymphedema syndrome	Musculoskeletal Diseases	"Hennekam lymphangiectasia-lymphedema syndrome,  "		
heparin cofactor ii deficiency	Cardiovascular Diseases	"Thrombophilia due to heparin cofactor II deficiency,  "		Cardiovascular
"hepatic adenomas, familial"	Neoplasms	"Hepatic adenoma, somatic,  "		
hepatic venoocclusive disease with immunodeficiency	Digestive System Diseases	"Hepatic venoocclusive disease with immunodeficiency,  "		Digestive system
hepatitis b virus		Hepatocellular carcinoma (hepatitis B virus related)		Infection
"hepatitis b, chronic"		Hepatitis B (viral clearance)		Infection
"hepatitis c, chronic"		Chronic Hepatitis C infection		Infection
hereditary angioedema type iii	Cardiovascular Diseases	"Angioedema, hereditary, type III,  "		Cardiovascular
hereditary motor and sensory neuropathy vi	Nervous System Diseases	"Hereditary motor and sensory neuropathy VI,  "		
"hereditary motor and sensory neuropathy, type iic"	Nervous System Diseases	"Hereditary motor and sensory neuropathy, type IIc,  "		
hereditary myopathy with early respiratory failure	Musculoskeletal Diseases	"Myopathy, proximal, with early respiratory muscle involvement,  "		
hereditary pancreatitis	Digestive System Diseases	"{Pancreatitis, chronic, protection against},  "		Digestive system
hereditary renal agenesis	Male Urogenital Diseases	"Renal agenesis,  "		
hereditary sensory and autonomic neuropathies	Nervous System Diseases	"Insensitivity to pain, congenital, with anhidrosis,  "		
"hereditary spastic paralysis, infantile onset ascending"	Nervous System Diseases	"Spastic paralysis, infantile onset ascending,  "		
hermansky pudlak syndrome 2	Eye Diseases	"Hermansky-Pudlak syndrome 2,  "		Eye
"heterotaxy, visceral, x-linked"	Cardiovascular Diseases	"Heterotaxy, visceral, 1, X-linked  "		Cardiovascular
"heterotopia, periventricular, autosomal recessive"	Nervous System Diseases	"Periventricular heterotopia with microcephaly,  "		
"heterotopia, periventricular, ehlers-danlos variant"	Nervous System Diseases	"Heterotopia, periventricular, ED variant,  "		
hhh syndrome	Nervous System Diseases	"Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome,  "		
"hidradenitis suppurativa, familial"	Bacterial Infections and Mycoses	"Acne inversa, familial, 3,  "		Infection
hip dislocation		hip geometry		
hip fractures		Comprehensive strength and appendicular lean mass		
hippocampus		Hippocampal volume		Neurological/behavioral
hirschsprung disease		Hirschsprung`s disease		Digestive system
histidinemia	Nervous System Diseases	"[Histidinemia],  "		
"histiocytoma, angiomatoid fibrous"	Neoplasms	"Histiocytoma, angiomatoid fibrous, somatic,  "		
histiocytosis with joint contractures and sensorineural deafness	Musculoskeletal Diseases	"Histiocytosis-lymphadenopathy plus syndrome,  "		
hiv seropositivity		HPV seropositivity		Infection
hmg coa lyase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"HMG-CoA lyase deficiency,  "		
holocarboxylase synthetase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Holocarboxylase synthetase deficiency,  "		
holoprosencephaly 2	Musculoskeletal Diseases	"Holoprosencephaly-2,  "		
holoprosencephaly 3	Musculoskeletal Diseases	"Holoprosencephaly-3,  "		
holoprosencephaly 4	Musculoskeletal Diseases	"Holoprosencephaly-4,  "		
holoprosencephaly 5	Musculoskeletal Diseases	"Holoprosencephaly-5,  "		
holoprosencephaly 7	Musculoskeletal Diseases	"Holoprosencephaly-7,  "		
holoprosencephaly 9	Musculoskeletal Diseases	"Holoprosencephaly-9,  "		
holt-oram syndrome	Musculoskeletal Diseases	"Holt-Oram syndrome,  "		
homocysteine		Homocysteine		Cardiovascular
"homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cble complementation type"	Nervous System Diseases	"Homocystinuria-megaloblastic anemia, cbl E type,  "		
homovanillic acid		Metabolite levels (HVA-5-HIAA Factor score)		
hoyeraal hreidarsson syndrome	Musculoskeletal Diseases	"Hoyeraal-Hreidarsson syndrome,  "		
huntington disease-like 1	Nervous System Diseases	"Huntington disease-like 1,  "		
huntington disease-like 2	Nervous System Diseases	"Huntington disease-like 2,  "		
"hyalinosis, systemic"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hyaline fibromatosis syndrome,  "		
hyaloideoretinal degeneration of wagner	Eye Diseases	"Wagner syndrome 1,  "		Eye
hydatidiform mole	Neoplasms	"Hydatidiform mole,  "		
hydrocephalus	Nervous System Diseases	"Hydrocephalus, nonsyndromic, autosomal recessive,  "		
"hydrocephalus, x-linked"	Nervous System Diseases	"Hydrocephalus with congenital idiopathic intestinal pseudoobstruction,  "		
hydrochlorothiazide		Thiazide-induced adverse metabolic effects in hypertensive patients		Cardiovascular
hydrolethalus syndrome 1	Musculoskeletal Diseases	"Hydrolethalus syndrome,  "		
"hydroxyacyl-coa dehydrogenase, type 2, deficiency"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"17-beta-hydroxysteroid dehydrogenase X deficiency,  "		
hydroxyindoleacetic acid		Metabolite levels (5-HIAA)		
hydroxymethylglutaryl-coa reductase inhibitors		Response to statin therapy		Miscellaneous
hyperandrogenism		hyperandrogenism		
hyperargininemia	Nervous System Diseases	"Argininemia,  "		
"hyperbilirubinemia, transient familial neonatal"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hyperbilirubinemia, familial transcient neonatal,  "		
"hypercalciuria, absorptive, 2"	"Pathological Conditions, Signs and Symptoms"	"{Hypercalciuria, absorptive, susceptibility to},  "		
"hypercarotenemia and vitamin a deficiency, autosomal dominant"	Nutritional and Metabolic Diseases	"Hypercarotenemia and vitamin A deficiency, autosomal dominant,  "		
"hypercholanemia, familial"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hypercholanemia, familial,  "		
"hypercholesterolemia, autosomal dominant, 3"	Nutritional and Metabolic Diseases	"{Low density lipoprotein cholesterol level QTL 1},  "		
"hypercholesterolemia, autosomal recessive"	Nutritional and Metabolic Diseases	"Hypercholesterolemia, familial, autosomal recessive,  "		
hyperexplexia hereditary	Musculoskeletal Diseases	"Hyperekplexia, hereditary 1, autosomal dominant or recessive,  "		
"hyperferritinemia, hereditary, with congenital cataracts"	Eye Diseases	"Hyperferritinemia-cataract syndrome,  "		Eye
hyperglycerolemia	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycerol kinase deficiency,  "		
"hyperglycinemia, nonketotic"	Nervous System Diseases	"Glycine encephalopathy,  "		
"hyper-ige recurrent infection syndrome, autosomal dominant"	Hemic and Lymphatic Diseases	"Hyper-IgE recurrent infection syndrome,  "		Blood
"hyperinsulinemic hypoglycemia, familial, 3"	Nutritional and Metabolic Diseases	"Hyperinsulinemic hypoglycemia, familial, 3,  "		
"hyperinsulinemic hypoglycemia, familial, 4"	Nutritional and Metabolic Diseases	"Hyperinsulinemic hypoglycemia, familial, 4,  "		
"hyperinsulinemic hypoglycemia, familial, 5"	Nutritional and Metabolic Diseases	"Hyperinsulinemic hypoglycemia, familial, 5,  "		
"hyperinsulinemic hypoglycemia, familial, 6"	Nutritional and Metabolic Diseases	"Hyperinsulinism-hyperammonemia syndrome,  "		
"hyperinsulinemic hypoglycemia, familial, 7"	Nutritional and Metabolic Diseases	"Hyperinsulinemic hypoglycemia, familial, 7,  "		
hyperinsulinism		Type 2 diabetes and other traits		Diabetes
"hyperkeratosis, epidermolytic"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Epidermolytic hyperkeratosis,  "		
hyperlipoproteinemia type i	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Lipoprotein lipase deficiency,  "		
hyperlipoproteinemia type ii		Serum LDL cholesterol levels		Cardiovascular
hyperlipoproteinemia type v	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hyperchylomicronemia, late-onset,  "		
hyperlipoproteinemias		Plasma Lp (a) levels		Cardiovascular
hyperlysinemias	Nervous System Diseases	"Hyperlysinemia,  "		
"hyperostosis, cortical, congenital"	Musculoskeletal Diseases	"Caffey disease,  "		
"hyperparathyroidism, neonatal severe primary"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hyperparathyroidism, neonatal,  "		
"hyperphenylalaninemia, bh4-deficient, b"	Nervous System Diseases	"Hyperphenylalaninemia, BH4-deficient, B,  "		
hyperprolinemia	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hyperprolinemia, type I,  "		
hyperprolinemia type 2	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hyperprolinemia, type II,  "		
"hypersensitivity, immediate"		Atopy		Autoimmune
"hypertension, diastolic, resistance to"	Cardiovascular Diseases	"{Hypertension, diastolic, resistance to},  "		Cardiovascular
"hypertension, early-onset, autosomal dominant, with severe exacerbation in pregnancy"	Cardiovascular Diseases	"Hypertension, early-onset, autosomal dominant, with exacerbation in pregnancy,  "		Cardiovascular
"hyperthyroidism, familial gestational"	Female Urogenital Diseases and Pregnancy Complications	"Hyperthyroidism, familial gestational,  "		Urogenital
"hyperthyroidism, nonautoimmune"	Endocrine System Diseases	"Hyperthyroidism, nonautoimmune,  "		Endocrine
"hypertrophy, left ventricular"		Left ventricular mass		Cardiovascular
hypoalphalipoproteinemias	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"HDL deficiency, type 2,  "		
"hypobetalipoproteinemia, familial, 2"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hypobetalipoproteinemia, familial, 2,  "		
"hypocalciuric hypercalcemia, familial, type 1"	Nutritional and Metabolic Diseases	"Hypocalciuric hypercalcemia, type I,  "		
"hypocalciuric hypercalcemia, familial, type 2"	Nutritional and Metabolic Diseases	"Hypocalciuric hypercalcemia, type II,  "		
hypochondroplasia	Musculoskeletal Diseases	"Hypochondroplasia,  "		
"hypogammaglobulinemia and isolated growth hormone deficiency, x-linked"	Musculoskeletal Diseases	"Agammaglobulinemia and isolated hormone deficiency,  "		
"hypoglycemia, leucine-induced"	Nutritional and Metabolic Diseases	"Hypoglycemia of infancy, leucine-sensitive,  "		
"hypokalemic periodic paralysis, type 2"	Musculoskeletal Diseases	"Hypokalemic periodic paralysis, type 2,  "		
"hypomagnesemia 1, intestinal"	Male Urogenital Diseases	"Hypomagnesemia 1, intestinal,  "		
"hypomagnesemia 2, renal"	Male Urogenital Diseases	"Hypomagnesemia-2, renal,  "		
"hypomagnesemia 4, renal"	Male Urogenital Diseases	"Hypomagnesemia 4, renal,  "		
"hypomagnesemia 5, renal, with ocular involvement"	Eye Diseases	"Hypomagnesemia 5, renal, with ocular involvement,  "		Eye
"hypomyelination, global cerebral"	Nervous System Diseases	"Hypomyelination, global cerebral,  "		
hypoparathyroidism familial isolated	Endocrine System Diseases	"Hypoparathyroidism, autosomal recessive,  "		Endocrine
hypoparathyroidism-retardation-dysmorphism syndrome	Musculoskeletal Diseases	"Hypoparathyroidism-retardation-dysmorphism syndrome,  "		
"hypophosphatasia, adult"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Odontohypophosphatasia,  "		
"hypophosphatasia, childhood"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hypophosphatasia, childhood,  "		
"hypophosphatasia, infantile"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hypophosphatasia, infantile,  "		
"hypophosphatemic rickets with hypercalciuria, hereditary"	Musculoskeletal Diseases	"Hypophosphatemic rickets with hypercalciuria,  "		
"hypophosphatemic rickets, autosomal dominant"	Musculoskeletal Diseases	"Hypophosphatemic rickets, autosomal dominant,  "		
"hypophosphatemic rickets, autosomal recessive, 1"	Musculoskeletal Diseases	"Hypophosphatemic rickets, AR,  "		
"hypophosphatemic rickets, autosomal recessive, 2"	Musculoskeletal Diseases	"Hypophosphatemic rickets, autosomal recessive, 2,  "		
hypopituitarism and septooptic 'dysplasia'	Nervous System Diseases	"Septooptic dysplasia,  "		
hypoplastic left heart syndrome	Cardiovascular Diseases	"Hypoplastic left heart syndrome 1,  "		Cardiovascular
"hypoprebetalipoproteinemia, acanthocytosis, retinitis pigmentosa, and pallidal degeneration"	Nervous System Diseases	"HARP syndrome,  "		
"hypoproteinemia, hypercatabolic"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Hypoproteinemia, hypercatabolic,  "		
"hypospadias 1, x-linked"	Male Urogenital Diseases	"Hypospadias 1, X-linked,  "		
"hypospadias 2, x-linked"	Male Urogenital Diseases	"Hypospadias 2, X-linked,  "		
hypothalamic hamartomas	Neoplasms	"{Hypothalamic hamartomas, somatic},  "		
hypothyroidism		Hypothyroidism		Endocrine
"hypothyroidism, congenital, nongoitrous, 2"	Musculoskeletal Diseases	"Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia,  "		
"hypothyroidism, congenital, nongoitrous, 4"	Musculoskeletal Diseases	"Hypothryoidism, congenital, nongoitrous 4,  "		
"hypothyroidism, congenital, nongoitrous, 5"	Musculoskeletal Diseases	"Hypothyroidism, congenital nongoitrous, 5,  "		
hypotrichosis and recurrent skin vesicles	Skin and Connective Tissue Diseases	"Hypotrichosis and recurrent skin vesicles,  "		
hypotrichosis simplex	Skin and Connective Tissue Diseases	"Hypotrichosis simplex,  "		
hypotrichosis-lymphedema-telangiectasia syndrome	Cardiovascular Diseases	"Hypotrichosis-lymphedema-telangiectasia syndrome,  "		Cardiovascular
"hypouricemia, renal, 2"	Male Urogenital Diseases	"{Uric acid concentration, serum, QTL 2},  "		
"ichthyosiform erythroderma, brocq congenital, nonbullous form"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Ichthyosis, congenital, autosomal recessive 2,  "		
